,landing_page_type,landing_page_type_encode
0,search_hello,0.16773269094986917
4,search_city,0.1530891197375615
7,search_custom,0.15526992287917737
8,top,0.15202369200394866
9,detail_hello,0.1676470588235294
14,detail,0.1585043434470603
15,jobshil_post,0.17211174242424243
21,search_other,0.1646720919100048
27,0,0.1788549937317175
28,mypage,0.2727272727272727
42,search_company,0.17256637168141592
44,login,0.1762820512820513
63,keisai,0.2127659574468085
86,hello,0.16374871266735325
123,other,0.16
135,search_job,0.13333333333333333
174,search_age,0.16810344827586207
216,search_multi,0.15951742627345844
242,lp,0.18091451292246521
264,search_pref,0.16457461645746166
265,hello_hw,0.18580645161290324
309,search_stati,0.14007782101167315
321,register,0.15773809523809523
558,detail_haken,0.16666666666666666
568,support,0.16666666666666666
620,contents,0.17293233082706766
762,guide,0.21739130434782608
836,search_user,0.1532258064516129
1158,entry,0.23809523809523808
1936,information,0.0
2070,voice_compa,0.14473684210526316
2441,member_other,0.14285714285714285
6673,detail_knavi,0.06896551724137931
9842,special,0.0
13868,entry_keisai,0.0
14582,jobshil_other,0.20588235294117646
20022,forget,0.5
41238,entry_hidden,0.0
44238,jobshil_top,0.4
69918,jobshilbiz_top,0.0
86990,jobshilbiz_post,0.0
